Áreas/Cursos;Mat. Sem. 1 M;Mat. Sem. 1 F;Mat. Sem. 1 Total;Mat. Sem. 2 M;Mat. Sem. 2F;Mat. Sem. 2 Total;Dip. Sem. 1 M;Dip. Sem. 1 F;Dip. Sem. 1 Total;Dip. Sem. 2 M;Dip. Sem. 2F;Dip. Sem. 2 Total;Ano
 ESTUDANTE NÃO VINCULADO;1;0;1;0;1;1;0;0;0;0;0;0;2015
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;1;0;1;0;0;0;0;0;0;0;0;0;2015
AGRONOMIA;98;73;171;91;69;160;0;0;0;9;3;12;2014
 CIÊNCIAS BIOLÓGICAS;25;69;94;23;65;88;0;2;2;4;11;15;2014
 EDUCAÇÃO FÍSICA;86;66;152;69;57;126;6;4;10;3;0;3;2014
 CIÊNCIA DA COMPUTAÇÃO;97;14;111;80;12;92;0;0;0;0;0;0;2014
 ENGENHARIA DE ALIMENTOS;38;115;153;33;107;140;0;0;0;0;9;9;2014
 FÍSICA;20;13;33;18;11;29;0;0;0;0;1;1;2014
 MATEMÁTICA;12;28;40;10;22;32;1;5;6;0;2;2;2014
 QUÍMICA;26;40;66;18;31;49;3;2;5;0;1;1;2014
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;16;5;21;11;5;16;5;0;5;3;1;4;2014
 TECNOLOGIA EM GESTÃO AMBIENTAL;38;52;90;29;43;72;1;4;5;6;14;20;2014
 ADMINISTRAÇÃO;91;104;195;77;97;174;0;0;0;0;0;0;2014
 ESTUDANTE NÃO VINCULADO;0;0;0;0;0;0;0;0;0;0;0;0;2014
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;0;0;0;0;0;0;0;0;0;0;0;0;2014
AGRONOMIA;81;62;143;74;61;135;0;0;0;0;0;0;2013
 CIÊNCIAS BIOLÓGICAS;24;64;88;20;61;81;0;0;0;1;10;11;2013
 EDUCAÇÃO FÍSICA;68;59;127;59;52;111;4;3;7;1;0;1;2013
 CIÊNCIA DA COMPUTAÇÃO;75;10;85;62;5;67;0;0;0;0;0;0;2013
 ENGENHARIA DE ALIMENTOS;40;92;132;33;86;119;0;0;0;0;0;0;2013
 FÍSICA;22;16;38;18;11;29;0;0;0;0;1;1;2013
 MATEMÁTICA;9;26;35;6;21;27;0;1;1;0;0;0;2013
 QUÍMICA;18;42;60;12;32;44;2;2;4;0;0;0;2013
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;28;9;37;25;6;31;1;2;3;6;1;7;2013
 TECNOLOGIA EM GESTÃO AMBIENTAL;31;47;78;23;35;58;1;4;5;0;4;4;2013
 ADMINISTRAÇÃO;73;83;156;61;74;135;0;0;0;0;0;0;2013
 ESTUDANTE NÃO VINCULADO;0;1;1;1;0;1;0;0;0;0;0;0;2013
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;0;0;0;2;0;2;0;0;0;0;0;0;2013
AGRONOMIA;69;57;126;61;52;113;0;0;0;0;0;0;2012
 CIÊNCIAS BIOLÓGICAS;19;62;81;15;55;70;0;0;0;0;0;0;2012
 EDUCAÇÃO FÍSICA;57;51;108;47;42;89;0;0;0;0;0;0;2012
 CIÊNCIA DA COMPUTAÇÃO;41;8;49;35;4;39;0;0;0;0;0;0;2012
 ENGENHARIA DE ALIMENTOS;41;81;122;37;72;109;0;0;0;0;0;0;2012
 FÍSICA;21;16;37;12;11;23;0;0;0;0;0;0;2012
 MATEMÁTICA;14;24;38;10;20;30;0;0;0;0;0;0;2012
 QUÍMICA;25;39;64;15;30;45;0;0;0;0;0;0;2012
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;60;15;75;45;13;58;9;2;11;13;3;16;2012
 TECNOLOGIA EM GESTÃO AMBIENTAL;27;52;79;16;37;53;2;10;12;2;10;12;2012
 ADMINISTRAÇÃO;53;65;118;41;57;98;0;0;0;0;0;0;2012
AGRONOMIA;59;34;93;53;36;89;0;0;0;0;0;0;2011
 CIÊNCIAS BIOLÓGICAS;13;52;65;13;47;60;0;0;0;0;0;0;2011
 EDUCAÇÃO FÍSICA;37;35;72;34;32;66;0;0;0;0;0;0;2011
 ENGENHARIA DE ALIMENTOS;32;57;89;29;56;85;0;0;0;0;0;0;2011
 FÍSICA;18;11;29;13;8;21;0;0;0;0;0;0;2011
 MATEMÁTICA;8;20;28;6;17;23;0;0;0;0;0;0;2011
 QUÍMICA;18;27;45;18;24;42;0;0;0;0;0;0;2011
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;92;26;118;78;26;104;6;0;6;5;0;5;2011
 TECNOLOGIA EM GESTÃO AMBIENTAL;25;47;72;20;47;67;1;0;1;9;7;16;2011
 ADMINISTRAÇÃO;27;33;60;25;32;57;0;0;0;0;0;0;2011
AGRONOMIA;34;24;58;31;23;54;0;0;0;0;0;0;2010
 CIÊNCIAS BIOLÓGICAS;9;42;51;8;38;46;0;0;0;0;0;0;2010
 EDUCAÇÃO FÍSICA;28;32;60;29;28;57;0;0;0;0;0;0;2010
 ENGENHARIA DE ALIMENTOS;17;41;58;18;33;51;0;0;0;0;0;0;2010
 FÍSICA;9;3;12;14;11;25;0;0;0;0;0;0;2010
 MATEMÁTICA;4;14;18;5;15;20;0;0;0;0;0;0;2010
 QUÍMICA;18;16;34;15;14;29;0;0;0;0;0;0;2010
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;83;23;106;66;19;85;10;2;12;1;0;1;2010
 TECNOLOGIA EM GESTÃO AMBIENTAL;33;37;70;26;32;58;4;0;4;3;3;6;2010
